index,time_s,prompt_tokens,completion_tokens,computed_tokens_per_sec,prompt_per_token_ms,predicted_ms,prompt_ms,prompt_per_second,predicted_n,predicted_per_token_ms,predicted_per_second,prompt_n,error
0,1.767029,47,110,62.251382,0.491724,906.213375,23.111041,2033.660016,110,8.238303,121.384216,47,
1,7.899354,271,514,65.068615,0.334629,7027.157541,90.684334,2988.388270,514,13.671513,73.144795,271,
2,3.671453,580,188,51.205890,0.060908,2676.457792,35.326833,16418.114808,188,14.236478,70.242094,580,
3,5.707318,103,353,61.850416,0.435213,4929.307375,44.826958,2297.724508,353,13.964044,71.612495,103,
4,5.787705,33,353,60.991359,0.771577,5041.935417,25.462042,1296.046876,353,14.283103,70.012797,33,
5,6.843968,27,431,62.975163,0.591932,6110.599916,15.982167,1689.382923,431,14.177726,70.533173,27,
6,3.950163,22,223,56.453365,0.757261,3212.669541,16.659750,1320.548027,223,14.406590,69.412679,22,
7,3.086064,109,162,52.494054,0.406705,2316.669209,44.330791,2458.787618,162,14.300427,69.927981,109,
8,1.461291,32,69,47.218508,0.717375,717.096250,22.956000,1393.971075,69,10.392699,96.221393,32,
9,1.056917,331,46,43.522795,0.332783,630.351542,110.151083,3004.963646,46,13.703294,72.975153,331,
10,1.262664,169,34,26.927196,0.387376,452.292375,65.466583,2581.469694,34,13.302717,75.172614,169,
11,2.077687,341,145,69.789154,0.322111,1181.822458,109.840000,3104.515659,145,8.150500,122.691864,341,
12,2.229293,166,102,45.754423,0.400645,1415.250875,66.507041,2495.976328,102,13.875009,72.072028,166,
13,5.761259,81,361,62.659912,0.443351,4987.469542,35.911417,2255.550094,361,13.815705,72.381394,81,
14,3.230565,766,155,47.979228,0.113047,2133.941083,86.593667,8845.912485,155,13.767362,72.635557,766,
15,11.460671,62,762,66.488257,0.430063,10699.878333,26.663875,2325.243424,762,14.041835,71.215763,62,
16,1.136316,44,29,25.521076,0.541516,385.028250,23.826709,1846.667116,29,13.276836,75.319149,44,
17,2.642800,1551,105,39.730588,0.013966,1128.419125,21.661750,71600.863273,105,10.746849,93.050532,1551,
18,6.144139,581,301,48.989777,0.062414,5126.149084,36.262333,16022.135145,301,17.030396,58.718542,581,
19,6.584537,127,449,68.190061,0.363899,5800.067792,46.215166,2748.015662,449,12.917746,77.412888,127,
20,7.608245,720,456,59.934980,0.105387,6532.936750,75.878500,9488.853891,456,14.326616,69.800155,720,
21,4.135437,2139,145,35.062801,0.021562,2246.846541,46.121875,46377.125822,145,15.495493,64.534893,2139,
22,7.511559,46,474,63.102745,0.460288,6761.091667,21.173250,2172.552631,474,14.263906,70.107022,46,
23,2.782214,52,148,53.195041,0.491177,2030.682042,25.541208,2035.925630,148,13.720825,72.881917,52,
24,5.048098,27,364,72.106363,0.586330,4308.081167,15.830916,1705.523546,364,11.835388,84.492373,27,
25,1.472058,536,33,22.417594,0.030968,477.939625,16.598708,32291.669930,33,14.483019,69.046378,536,
26,2.647382,66,224,84.611897,0.537380,2130.647750,35.467084,1860.880359,224,9.511820,105.132348,66,
27,3.126054,303,159,50.862850,0.327902,2232.436167,99.354375,3049.689558,159,14.040479,71.222641,303,
28,4.975367,26,300,60.297062,0.674322,4235.992667,17.532375,1482.970790,300,14.119976,70.821652,26,
29,4.015663,575,223,55.532550,0.044693,3029.699375,25.698584,22374.773645,223,13.586096,73.604663,575,
30,3.690182,248,210,56.907765,0.325687,2834.799375,80.770333,3070.434289,210,13.499045,74.079316,248,
