index,time_s,prompt_tokens,completion_tokens,computed_tokens_per_sec,prompt_per_token_ms,predicted_ms,prompt_ms,prompt_per_second,predicted_n,predicted_per_token_ms,predicted_per_second,prompt_n,error
0,4.858288,47,110,22.641719,7.374855,1702.111166,346.618167,135.595893,110,15.473738,64.625626,47,
1,8.412060,271,514,61.102747,0.320811,7536.907708,86.939875,3117.096729,514,14.663245,68.197730,271,
2,3.306898,580,188,56.850860,0.067818,2605.770459,39.334291,14745.403699,188,13.860481,72.147567,580,
3,6.363713,103,353,55.470765,0.375887,5603.350709,38.716375,2660.373033,353,15.873515,62.998020,103,
4,6.257801,33,353,56.409592,0.689404,5511.708708,22.750333,1450.528219,353,15.613906,64.045475,33,
5,6.771533,27,431,63.648806,0.834252,6023.640375,22.524792,1198.679215,431,13.975964,71.551416,27,
6,4.187797,22,223,53.249954,1.054013,3444.555917,23.188292,948.754656,223,15.446439,64.739840,22,
7,3.293587,109,162,49.186494,0.344990,2522.479125,37.603958,2898.631043,162,15.570859,64.222533,109,
8,1.792197,32,69,38.500227,0.729517,1045.129000,23.344542,1370.770093,69,15.146797,66.020558,32,
9,1.596573,331,46,28.811711,0.318821,698.828584,105.529916,3136.551345,46,15.191926,65.824440,331,
10,1.331505,169,34,25.535007,0.324110,520.164875,54.774625,3085.370279,34,15.298967,65.363891,169,
11,3.147847,341,145,46.063235,0.317217,2251.726583,108.171042,3152.414858,145,15.529149,64.395030,341,
12,2.411089,166,102,42.304532,0.336051,1602.898000,55.784500,2975.736988,102,15.714686,63.634742,166,
13,6.176731,81,361,58.445154,0.469510,5403.941292,38.030292,2129.881096,361,14.969366,66.803094,81,
14,2.780762,766,155,55.740115,0.099518,2208.480167,76.231000,10048.405504,155,14.248259,70.184013,766,
15,11.628876,62,762,65.526540,0.356661,11317.966125,22.112959,2803.785780,762,14.852974,67.326584,62,
16,1.163236,44,29,24.930455,0.508509,420.815250,22.374417,1966.531687,29,14.510871,68.913852,44,
17,4.357943,1551,105,24.093934,0.015331,1515.889041,23.778917,65225.846913,105,14.437038,69.266283,1551,
18,5.099564,581,301,59.024652,0.067816,4121.702958,39.401375,14745.678292,301,13.693365,73.028067,581,
19,7.410610,127,449,60.588806,0.309816,6620.924875,39.346583,3227.726281,449,14.745935,67.815299,127,
20,7.684894,720,456,59.337188,0.106197,6614.389917,76.461750,9416.472942,456,14.505241,68.940599,720,
21,4.688582,2139,145,30.926193,0.024371,2858.462667,52.128791,41032.986934,145,19.713536,50.726568,2139,
22,7.174405,46,474,66.068197,0.492185,6447.457500,22.640500,2031.757249,474,13.602231,73.517352,46,
23,2.935807,52,148,50.412037,0.435329,2285.897167,22.637125,2297.111493,148,15.445251,64.744820,52,
24,5.877386,27,364,61.932295,0.838026,5126.222917,22.626708,1193.280083,364,14.083030,71.007447,27,
25,1.482239,536,33,22.263614,0.034291,504.559667,18.380125,29161.934426,33,15.289687,65.403563,536,
26,4.161789,66,224,53.823011,0.574770,3388.480208,37.934834,1739.825723,224,15.127144,66.106333,66,
27,3.307031,303,159,48.079379,0.297301,2423.335750,90.082083,3363.598952,159,15.241105,65.612039,303,
28,4.997744,26,300,60.027082,0.900764,4251.454417,23.419875,1110.168180,300,14.171515,70.564087,26,
29,4.027761,575,223,55.365743,0.044451,3063.818084,25.559416,22496.601644,223,13.739095,72.785000,575,
30,4.111255,248,210,51.079289,0.297500,3262.415375,73.779916,3361.348365,210,15.535311,64.369486,248,
31,1.737490,67,62,35.683668,0.566365,957.246542,37.946458,1765.645690,62,15.439460,64.769103,67,
32,2.601806,123,116,44.584412,0.314872,1818.082667,38.729291,3175.890826,116,15.673126,63.803479,123,
33,5.508000,31,300,54.466232,0.737559,4757.317083,22.864333,1355.823500,300,15.857724,63.060754,31,
34,7.235611,32,465,64.265480,0.708172,6484.220458,22.661500,1412.086579,465,13.944560,71.712552,32,
35,9.729138,429,631,64.856720,0.280317,8776.433208,120.256125,3567.385861,631,13.908769,71.897089,429,
36,1.296208,30,40,30.859242,0.751938,547.281084,22.558125,1329.897764,40,13.682027,73.088585,30,
37,1.169995,106,31,26.495851,0.361572,464.962625,38.326583,2765.704420,31,14.998794,66.672026,106,
38,7.187249,145,471,65.532722,0.377130,6469.772875,54.683875,2651.604335,471,13.736248,72.800083,145,
39,2.554969,1212,65,25.440624,0.055232,1273.994208,66.940625,18105.597311,65,19.599911,51.020640,1212,
40,1.234188,38,25,20.256228,0.548253,485.592667,20.833625,1823.974464,25,19.423707,51.483479,38,
41,1.237261,31,28,22.630638,0.684462,483.666625,21.218333,1461.000730,28,17.273808,57.891115,31,
42,2.127691,66,79,37.129447,0.591785,1347.869291,39.057834,1689.801846,79,17.061637,58.611024,66,
43,2.108289,28,84,39.842740,0.774283,1362.544792,21.679916,1291.517919,84,16.220771,61.649349,28,
44,5.359257,309,288,53.738796,0.287184,4477.029500,88.739875,3482.087393,288,15.545241,64.328368,309,
45,7.308819,321,408,55.822971,0.335333,6400.359500,107.641834,2982.111955,408,15.687156,63.746419,321,
