index,time_s,prompt_tokens,completion_tokens,computed_tokens_per_sec,prompt_per_token_ms,predicted_ms,prompt_ms,prompt_per_second,predicted_n,predicted_per_token_ms,predicted_per_second,prompt_n,error
0,5.823946,47,110,18.887539,35.084859,2032.475708,1648.988375,28.502323,110,18.477052,54.121188,47,
1,9.518013,271,514,54.002871,0.586020,8582.831250,158.811542,1706.425091,514,16.698115,59.886998,271,
2,4.093513,580,188,45.926328,0.092917,3047.140500,53.891583,10762.348547,188,16.208194,61.697188,580,
3,6.882897,103,353,51.286547,0.713068,6004.347125,73.445959,1402.391655,353,17.009482,58.790738,103,
4,6.630656,33,353,53.237564,1.115163,5981.643459,36.800375,896.729993,353,16.945166,59.013882,33,
5,7.494805,27,431,57.506497,1.046784,6661.691500,28.263167,955.306955,431,15.456361,64.698283,27,
6,4.243532,22,223,52.550562,1.353858,3536.104042,29.784875,738.629925,223,15.856969,63.063755,22,
7,3.264739,109,162,49.621122,0.656059,2425.797583,71.510417,1524.253452,162,14.974059,66.782159,109,
8,1.921581,32,69,35.907935,0.728650,1116.461333,23.316792,1372.401486,69,16.180599,61.802409,32,
9,1.657234,331,46,27.757101,0.588437,692.018292,194.772708,1699.416738,46,15.043876,66.472231,331,
10,1.360469,169,34,24.991384,0.623739,450.962875,105.411916,1603.234306,34,13.263614,75.394233,169,
11,3.389141,341,145,42.783697,0.567282,2408.616541,193.443000,1762.793174,145,16.611149,60.200533,341,
12,2.285285,166,102,44.633388,0.636953,1443.268708,105.734250,1569.973779,102,14.149693,70.672910,166,
13,6.275579,81,361,57.524570,0.699089,5510.174250,56.626208,1430.433060,361,15.263641,65.515170,81,
14,3.820498,766,155,40.570632,0.175098,2466.444583,134.124792,5711.099257,155,15.912546,62.843496,766,
15,14.388963,62,762,52.957255,0.602915,13590.639833,37.380750,1658.607706,762,17.835485,56.068000,62,
16,1.154454,44,29,25.120107,0.885552,438.414625,38.964292,1129.239048,29,15.117746,66.147428,44,
17,3.929163,1551,105,26.723250,0.017799,1947.940917,27.606333,56182.760673,105,18.551818,53.903072,1551,
18,5.939579,581,301,50.676995,0.091611,5045.048458,53.225958,10915.726496,301,16.760958,59.662460,581,
19,7.075037,127,449,63.462564,0.606906,6380.846542,77.077125,1647.700274,449,14.211240,70.366839,127,
20,9.050613,720,456,50.383329,0.163903,7835.605000,118.010167,6101.169232,456,17.183344,58.195889,720,
21,5.640393,2139,145,25.707428,0.030413,3187.025625,65.053625,32880.565841,145,21.979487,45.496967,2139,
22,11.767975,46,474,40.278808,0.619209,10869.375000,28.483625,1614.962983,474,22.931171,43.608763,46,
23,3.918409,52,148,37.770430,0.587992,3216.151458,30.575583,1700.703467,148,21.730753,46.017733,52,
24,8.678690,27,364,41.941816,0.928145,7938.314709,25.059916,1077.417817,364,21.808557,45.853561,27,
25,1.684470,536,33,19.590729,0.028320,666.583875,15.179708,35310.297141,33,20.199511,49.506148,536,
26,6.213402,66,224,36.051106,0.773343,5279.716000,51.040666,1293.086575,224,23.570161,42.426524,66,
27,4.273830,303,159,37.203168,0.584303,3269.253875,177.043708,1711.441787,159,20.561345,48.634950,303,
28,7.267830,26,300,41.277795,0.768606,6731.266542,19.983750,1301.057109,300,22.437555,44.568136,26,
29,5.053496,575,223,44.127867,0.071986,3836.918958,41.391833,13891.629298,223,17.205915,58.119549,575,
30,4.526639,248,210,46.392035,0.578332,3442.739458,143.426417,1729.109638,210,16.393997,60.997936,248,
31,1.763893,67,62,35.149527,0.833642,1051.519125,55.854042,1199.555083,62,16.959986,58.962313,67,
32,2.728224,123,116,42.518508,0.602203,1921.541209,74.070958,1660.569855,116,16.565010,60.368208,123,
33,6.107798,31,300,49.117541,0.686780,5262.951625,21.290167,1456.071246,300,17.543172,57.002234,31,
34,8.891653,32,465,52.296236,0.889293,7988.041541,28.457375,1124.488819,465,17.178584,58.212016,32,
35,11.442629,429,649,56.717734,0.567319,10238.391667,243.379791,1762.677165,649,15.775642,63.388862,429,
36,1.466506,30,40,27.275713,0.810233,660.488667,24.307000,1234.212367,40,16.512217,60.561221,30,
37,1.105275,106,31,28.047329,0.678302,506.020709,71.900041,1474.268979,31,16.323249,61.262315,106,
38,9.129345,145,475,52.030020,0.607576,8298.300292,88.098458,1645.885788,475,17.470106,57.240638,145,
39,2.117793,1212,65,30.692333,0.088197,645.882875,106.894750,11338.255621,65,9.936660,100.637441,1212,
40,1.230116,38,25,20.323278,1.059752,390.933208,40.270584,943.616810,25,15.637328,63.949543,38,
41,1.224645,31,28,22.863777,0.686848,407.465917,21.292291,1455.925997,28,14.552354,68.717404,31,
42,2.065510,66,79,38.247214,0.843104,1233.899459,55.644875,1186.093059,79,15.618980,64.024665,66,
43,2.249726,28,84,37.337884,0.961789,1391.373958,26.930084,1039.729397,84,16.563976,60.371979,28,
44,5.945078,309,288,48.443438,0.605258,4952.150291,187.024875,1652.186641,288,17.194966,58.156555,309,
45,7.995293,321,408,51.030028,0.601908,6960.276459,193.212625,1661.382117,408,17.059501,58.618361,321,
46,3.292508,1207,75,22.778985,0.089115,1598.722625,107.562041,11221.430802,75,21.316302,46.912453,1207,
47,2.716367,613,87,32.028069,0.112200,1467.125334,68.778500,8912.668930,87,16.863510,59.299637,613,
48,9.441759,468,400,42.364986,0.559753,8280.748542,261.964500,1786.501606,400,20.701871,48.304812,468,
49,2.456488,221,89,36.230582,0.571411,1527.299334,126.281875,1750.053204,89,17.160667,58.272794,221,
50,2.058943,84,76,36.912137,0.668430,1247.783916,56.148125,1496.042833,76,16.418209,60.907982,84,
51,4.104935,169,202,49.209059,0.625004,3324.897541,105.625667,1599.989896,202,16.459889,60.753752,169,
52,5.311730,28,260,48.948270,0.695519,4546.278292,19.474541,1437.774580,260,17.485686,57.189636,28,
53,1.283274,88,27,21.039926,0.641114,438.657208,56.418042,1559.784723,27,16.246563,61.551479,88,
54,6.557399,388,318,48.494835,0.588081,5403.127416,228.175250,1700.447354,318,16.990967,58.854803,388,
55,3.244122,160,152,46.853970,0.552284,2499.242500,88.365500,1810.661401,152,16.442385,60.818428,160,
56,7.430981,855,411,55.308981,0.213355,5953.758334,182.418666,4687.020351,411,14.486030,69.032026,855,
57,2.111911,59,88,41.668419,0.555915,1304.335791,32.798959,1798.837579,88,14.821998,67.467289,59,
58,7.177056,37,393,54.757825,0.869599,6563.634375,32.175167,1149.955181,393,16.701360,59.875364,37,
59,1.962251,59,68,34.654071,0.661977,1103.839875,39.056625,1510.627198,68,16.232939,61.603138,59,
60,2.133832,353,94,44.052204,0.595130,1157.211542,210.081000,1680.304264,94,12.310761,81.229746,353,
61,1.043650,159,26,24.912571,0.561219,421.157792,89.233792,1781.836190,26,16.198377,61.734581,159,
62,1.524851,31,58,38.036502,0.809370,820.662334,25.090458,1235.529459,58,14.149351,70.674622,31,
63,1.362305,305,36,26.425800,0.585040,452.225542,178.437083,1709.285956,36,12.561821,79.606295,305,
64,2.952752,293,145,49.106739,0.599257,2018.095708,175.582292,1668.733200,145,13.917901,71.849912,293,
65,7.047686,1282,425,60.303485,0.121701,5274.810792,156.020333,8216.877732,425,12.411320,80.571610,1282,
66,1.307757,224,34,25.998713,0.567172,555.297417,127.046541,1763.133402,34,16.332277,61.228450,224,
67,13.651914,44,747,54.717601,0.922456,12919.305000,40.588083,1084.062039,747,17.294920,57.820448,44,
68,10.585791,36,571,53.940230,0.962181,9915.342959,34.638500,1039.305975,571,17.364874,57.587519,36,
69,4.926655,312,308,62.517057,0.568257,3923.830167,177.296333,1759.765669,308,12.739708,78.494733,312,
70,3.883404,33,178,45.836073,1.067615,3113.929083,35.231292,936.667324,178,17.493984,57.162509,33,
71,2.093416,1313,38,18.152151,0.131882,376.506208,173.160417,7582.564322,38,9.908058,100.927951,1313,
72,6.096454,3940,56,9.185668,0.054854,660.717125,216.124833,18230.204948,56,11.798520,84.756393,3940,
73,7.644942,871,374,48.921237,0.227688,6211.229167,198.316666,4391.965726,374,16.607565,60.213525,871,
74,4.808303,442,217,45.130267,0.557251,3781.479667,246.305083,1794.522446,217,17.426174,57.384944,442,
75,2.086706,56,81,38.817153,0.649633,1343.309792,36.379458,1539.330245,81,16.584072,60.298823,56,
76,4.104014,208,179,43.615839,0.595817,3121.318291,123.929959,1678.367375,179,17.437532,57.347564,208,
77,4.859314,85,238,48.978108,0.659363,4187.405916,56.045834,1516.615847,238,17.594143,56.837098,85,
78,1.579148,36,56,35.462167,1.083633,959.572458,39.010792,922.821562,56,17.135222,58.359324,36,
79,1.603245,142,47,29.315547,0.633511,768.461875,89.958500,1578.505644,47,16.350253,61.161134,142,
80,5.093660,519,235,46.135781,0.037051,4058.288041,19.229292,26990.073269,235,17.269311,57.906190,519,
81,6.071037,47,300,49.414954,0.750566,5311.224583,35.276625,1332.327001,300,17.704082,56.484149,47,
82,4.607452,617,305,66.197113,0.112451,3462.649750,69.382209,8892.769615,305,11.352950,88.082833,617,
83,1.807169,614,39,21.580719,0.113611,614.399333,69.757084,8801.973431,39,15.753829,63.476631,614,
84,7.008307,84,361,51.510302,0.673031,6335.290667,56.534583,1485.816213,361,17.549282,56.982389,84,
85,10.873612,78,580,53.340141,0.722382,10065.873167,56.345791,1384.309256,580,17.354954,57.620436,78,
86,1.145393,264,15,13.095943,0.598222,183.473792,157.930625,1671.620055,15,12.231586,81.755546,264,
87,3.324858,773,124,37.294830,0.191383,2017.670042,147.939042,5225.125089,124,16.271533,61.457026,773,
88,4.217896,62,205,48.602427,0.608991,3474.772833,37.757458,1642.059696,205,16.950111,58.996662,62,
89,4.829993,72,234,48.447277,0.769642,4036.167959,55.414250,1299.304782,234,17.248581,57.975784,72,
90,1.203562,48,24,19.940817,0.833736,379.916333,40.019333,1199.420290,24,15.829847,63.171804,48,
91,3.648421,33,161,44.128684,1.189918,2812.365125,39.267291,840.394108,161,17.468106,57.247190,33,
92,8.712558,348,440,50.501817,0.560865,7650.404167,195.181166,1782.958915,440,17.387282,57.513301,348,
93,5.116544,412,290,56.678883,0.558788,4070.957625,230.220458,1789.589003,290,14.037785,71.236310,412,
94,9.408658,47,506,53.780254,0.712715,8655.203292,33.497583,1403.086306,506,17.105145,58.461943,47,
95,3.946329,84,240,60.816020,0.672786,3189.247708,56.514000,1486.357363,240,13.288532,75.252856,84,
96,3.067353,26,219,71.397065,1.027434,2779.859209,26.713291,973.298273,219,12.693421,78.780968,26,
97,4.003886,1839,87,21.728890,0.097730,2004.657209,179.725208,10232.287504,87,23.042037,43.398941,1839,
98,2.290170,26,70,30.565410,0.963492,1529.412625,25.050791,1037.891378,70,21.848752,45.769205,26,
99,5.330016,25,196,36.772872,0.930342,4531.142875,23.258541,1074.873957,196,23.118076,43.256195,25,
